1,name,affiliation,homepage,scholarid,name,,name
129,Abdullah Ercument Cicek,Bilkent University,http://ciceklab.cs.bilkent.edu.tr/ercumentcicek,n25sJzkAAAAJ,Abdullah,Ercument,Cicek
130,Abdullah Mueen,University of New Mexico,http://www.cs.unm.edu/~mueen,OImDWloAAAAJ,Abdullah,,Mueen
131,Abdullah Muzahid,Texas A&M University,http://people.tamu.edu/~abdullah.muzahid/index.html,hN7mpGMAAAAJ,Abdullah,,Muzahid
132,Abdullah Uz Tansel,CUNY,https://www.gc.cuny.edu/Page-Elements/Academics-Research-Centers-Initiatives/Doctoral-Programs/Computer-Science/Faculty-Bios/Abdullah-Uz-Tansel,emeq3i8AAAAJ,Abdullah,Uz,Tansel
133,Abdullah Yasin Nur,University of New Orleans,https://ayasinnur.com,hxKxyYYAAAAJ,Abdullah,Yasin,Nur
134,Abdullah-Al-Zubaer Imran,University of Kentucky,https://aaz-imran.github.io,HI7UKCIAAAAJ,Abdullah-Al-Zubaer,,Imran
135,Abdulmohsen Almalawi,King Abdulaziz University,http://balmalowy.kau.edu.sa/CVEn.aspx?Site_ID=0008859&Lng=EN,XxBxuykAAAAJ,Abdulmohsen,,Almalawi
136,Abdulmotaleb El-Saddik,MBZUAI,http://www.site.uottawa.ca/~elsaddik,VcOjgngAAAAJ,Abdulmotaleb,,El-Saddik
137,Abdulmotaleb Elsaddik,MBZUAI,http://www.site.uottawa.ca/~elsaddik,VcOjgngAAAAJ,Abdulmotaleb,,Elsaddik
138,Abdulrahman Mahmoud,MBZUAI,https://mbzuai.ac.ae/study/faculty/abdulrahman-mahmoud,LRZKQpkAAAAJ,Abdulrahman,,Mahmoud
139,Abe Davis,Cornell University,http://abedavis.com,-Gp8ghkAAAAJ,Abe,,Davis
140,Abedelaziz Mohaisen,University of Central Florida,http://cs.ucf.edu/~mohaisen,q387AywAAAAJ,Abedelaziz,,Mohaisen
141,Abel G. Silva-Filho,UFPE,https://www.cin.ufpe.br/~agsf,vzHzlxkAAAAJ,Abel,G.,Silva-Filho
142,Abel G. da Silva Filho,UFPE,https://www.cin.ufpe.br/~agsf,vzHzlxkAAAAJ,Abel,G. da Silva,Filho
143,Abel Guilhermino Silva-Filho,UFPE,https://www.cin.ufpe.br/~agsf,vzHzlxkAAAAJ,Abel,Guilhermino,Silva-Filho
144,Abel Guilhermino da Silva Filho,UFPE,https://www.cin.ufpe.br/~agsf,vzHzlxkAAAAJ,Abel,Guilhermino da Silva,Filho
145,Abel Souza,Univ. of California - Santa Cruz,https://asouza.io,Ino3cIwAAAAJ,Abel,,Souza
146,Abhaya Kumar Sahoo,KIIT Bhubaneswar,https://cse.kiit.ac.in/profiles/abhaya-kumar-sahoo,xaOLqGMAAAAJ,Abhaya,Kumar,Sahoo
147,Abhi Shelat,Northeastern University,https://shelat.khoury.northeastern.edu,Te94nKAAAAAJ,Abhi,,Shelat
148,Abhijeet Ghosh,Imperial College London,http://www.doc.ic.ac.uk/~ghosh,EG_UZvwAAAAJ,Abhijeet,,Ghosh
149,Abhijit Das 0004,IIT Kharagpur,http://cse.iitkgp.ac.in/~abhij,vpWPul0AAAAJ,Abhijit,Das,0004
150,Abhijit Mahalanobis,University of Central Florida,https://www.crcv.ucf.edu/person/abhijit-mahalanobis,L9Y5FbwAAAAJ,Abhijit,,Mahalanobis
151,Abhijit S. Pandya,Florida Atlantic University,http://pire.fiu.edu/faculty/Dr_Pandya.php,NOSCHOLARPAGE,Abhijit,S.,Pandya
152,Abhik Roychoudhury,National University of Singapore,https://www.comp.nus.edu.sg/~abhik,UxFWSJIAAAAJ,Abhik,,Roychoudhury
153,Abhilash Jindal,IIT Delhi,http://abhilash-jindal.com,_af8suQAAAAJ,Abhilash,,Jindal
154,Abhinav Bhatele,University of Maryland - College Park,http://www.cs.umd.edu/~bhatele,3x65qtwAAAAJ,Abhinav,,Bhatele
155,Abhinav Dhall,IIT Ropar,http://www.iitrpr.ac.in/cse/abhinavdhall,ypusncAAAAAJ,Abhinav,,Dhall
156,Abhinav Gupta 0001,Carnegie Mellon University,http://www.cs.cmu.edu/~abhinavg,NOSCHOLARPAGE,Abhinav,Gupta,0001
157,Abhinav Kumar Singh,University of Southampton,https://www.ecs.soton.ac.uk/people/aks1a19,tkp3t2gAAAAJ,Abhinav,Kumar,Singh
158,Abhinav Shrivastava,University of Maryland - College Park,http://abhinavsh.info,mIF9BowAAAAJ,Abhinav,,Shrivastava
159,Abhinav Verma 0001,Pennsylvania State University,https://averma8053.github.io,jM1HeCIAAAAJ,Abhinav,Verma,0001
160,Abhir Bhalerao,University of Warwick,https://warwick.ac.uk/fac/sci/dcs/people/abhir_bhalerao,XfBoSP4AAAAJ,Abhir,,Bhalerao
161,Abhir H. Bhalerao,University of Warwick,https://warwick.ac.uk/fac/sci/dcs/people/abhir_bhalerao,XfBoSP4AAAAJ,Abhir,H.,Bhalerao
162,Abhiram G. Ranade,IIT Bombay,https://www.cse.iitb.ac.in/~ranade,lb5ffQ8AAAAJ,Abhiram,G.,Ranade
163,Abhiram Ranade,IIT Bombay,https://www.cse.iitb.ac.in/~ranade,lb5ffQ8AAAAJ,Abhiram,,Ranade
164,Abhisek Chakrabarty,BITS Pilani-Goa,https://abhisek-chakrabarty.github.io,V1Wxp0MAAAAJ,Abhisek,,Chakrabarty
165,Abhishek Bhattacharjee,Yale University,https://cpsc.yale.edu/people/abhishek-bhattacharjee,AopgnHAAAAAJ,Abhishek,,Bhattacharjee
