Acronym,full_name,conference_rank,academic_society
Alife,IEEE International Symposium on Artificial Life IEEE,A,IEEE
CEC,IEEE Congress on Evolutionary Computation IEEE,A,IEEE
INFOCOM,IEEE Conference on Computer Communications IEEE,A,IEEE
InfoVis,IEEE Information Visualization Conference IEEE,A,IEEE
NCA,IEEE International Symposium on Network Computing and Applications IEEE,A,IEEE
VIS,IEEE Visualization IEEE,A,IEEE
IJCNN,IEEE International Joint Conference on Neural Networks,A,IEEE
IMC,Internet Measurement Conference,A,other
Interact,IFIP TC13 Conference on Human Computer Interaction,A,other
Interspeech,Annual Conference of the International Speech Communication Association (was Eurospeech),A,other
IPCO,Conference on Integer Programming and Combinatorial Optimization,A,other
IPDPS,IEEE International Parallel and Distributed Processing Symposium (was IPPS and SPDP),A,IEEE
ISAAC,International Symposium on Algorithms and Computation,A,other
ISD,International Conference on Information Systems Development,A,other
ISMB,Intelligent Systems in Molecular Biology,A,other
ISMM,International Symposium on Memory Management,A,other
ISSRE,International Symposium on Software Reliability Engineering,A,other
ISSTA,International Symposium on Software Testing and Analysis,A,other
ITiCSE,Annual Conference on Innovation and Technology in Computer Science Education,A,other
ITS,International Conference on Intelligent Tutoring Systems,A,other
IUI,International Conference on Intelligent User Interfaces,A,other
JELIA,"Logics in Artificial Intelligence, European Conference",A,other
K CAP,Knowledge capture,A,other
LPAR,Logic Programming and Automated Reasoning,A,other
LPNMR,International Conference on Logic Programming and Non monotonic Reasoning,A,other
MFCS,International Symposium on Mathematical Foundations of Computer Science,A,other
MICCAI,Medical Image Computing and Computer Assisted Intervention,A,other
Middleware,ACM/IFIP/USENIX International Middleware Conference,A,ACM
MMCN,ACM/SPIE Multimedia Computing and Networking,A,ACM
MOBIHOC,ACM Symposium of Mobile and Ad Hoc Computing,A,ACM
Mobiquitous,International Conference on Mobile and Ubiquitous Systems: Networks and Services,A,other
NAACL,North American Association for Computational Linguistics,A,other
NDSS,Usenix Network and Distributed System Security Symposium,A,other
NOSSDAV,Network and OS Support for Digital A/V,A,other
OCIS,AoM Organizational Communication and Information Systems,A,other
PACIS,Pacific Asia Conference on Information Systems,A,other
PACT,International Conference on Parallel Architecture and Compilation Techniques,A,other
PAKDD,Pacific Asia Conference on Knowledge Discovery and Data Mining,A,other
PG,Pacific Conference on Computer Graphics and Applications,A,other
PKDD,European Conference on Principles and Practice of Knowledge Discovery in Databases,A,other
PPoPP,Principles and Practice of Parallel Programming,A,other
PPSN,Parallel Problem Solving from Nature,A,other
QoSA,Conference on the Quality of Software Architectures,A,other
RANDOM,International Workshop on Randomization and Computation,A,other
RE,IEEE International Requirements Engineering Conference,A,IEEE
RST,International Conference on Reliable Software Technologies,A,other
StiP,IEEE Symposium on Security and Privacy,A,IEEE
SAS,Static Analysis Symposium,A,other
SAT,International Conference on Theory and Applications of Satisfiability Testing,A,other
SC,ACM/IEEE Supercomputing Conference,A,ACM+IEEE
SCC,IEEE International Conference on Services Computing,A,IEEE
SCG,ACM Symposium on Computational Geometry,A,ACM
SDM,SIAM International Conference on Data Mining,A,other
SecureCom,International Conference on Security and Privacy for Communication Networks,A,other
SIGCOMM,"ACM Conference on Applications, Technologies, Architectures, and Protocols for Computer Communication",A,ACM
SIGCSE,ACM Special Interest Group on Computer Science Education Conference,A,ACM
SPAA,Symposium on Parallelism in Algorithms and Architectures,A,other
SRDS,Symposium on Reliable Distributed Systems,A,other
SSDBM,International Conference on Scientific and Statistical Data Base Management,A,other
SSPR,Structural and Syntactical Pabern Recognition,A,other
TABLEAUX,International Conference on Theorem Proving with Analytic Tableaux and Related Methods,A,other
TACAS,Tools and Algorithms for Construction and Analysis of Systems,A,other
TARK,Theoretical Aspects of Rationality and Knowledge,A,other
TCC,Theory of Cryptography Conference,A,other
TEI,"Tangible, Embedded, and Embodied Interaction",A,other
TIME,International Symposium on Temporal Representation and Reasoning,A,other
TPHOLs,International Conference on Theorem Proving in Higher Order Logics (will be ITP from 2010),A,other
TrustCom,IEEE/IFIP International Symposium on Trusted Computing and Communications,A,IEEE
UIST,ACM Symposium on User Interface Software and Technology,A,ACM
USENIX,Usenix Annual Technical Conference,A,other
USENIXSecurity,Usenix Security Symposium,A,other
VEE,International Conference on Virtual Execution Environments,A,other
VL/HCC,IEEE Symposium on Visual Languages and Human Centric Computing (was VL),A,IEEE
VRST,ACM Virtual Reality Software and Technology,A,ACM
WACV,IEEE Workshop on Applications of Computer Vision,A,IEEE
WADS,Algorithms and Data Structures Symposium (was Workshop on Algorithms and Data Structures),A,other
WG,International Workshop on Graph Theoretic Concepts in Computer Science,A,other
WICSA,IEEE/IFIP Working Conference on Software Architecture (now with ECSA),A,IEEE
WISE,International Conference on Web Information Systems Engineering,A,other
Coding,IMA International Conference on Cryptography and,B,other
Conference,Australian Digital Forensics,B,other
Conference,Australian Information Security Management,B,other
3DUI,IEEE Symposium on 3D User Interfaces,B,IEEE
AAAAECC,"International Symposium on Applied Algebra, Algebraic Algorithms and Error Correcting Codes",B,other
ACAL,Australian Conference on Artificial Life,B,other
ACCV,Asian Conference on Computer Vision,B,other
ACE,Australasian Conference on Computer Science Education,B,other
ACISP,Australasian Conference on Information Security and Privacy,B,other
ACIVS,Advanced Concepts for Intelligent Vision Systems,B,other
ACKMIDS,Australian Conference for Knowledge Management and Intelligent Decision Support,B,other
CPR,ACM SIGMIS CPR Conference ACMSIGMIS,B,ACM
ACNS,International Conference on Applied Cryptography and Network Security,B,other
ACRA,Australasian Conference on Robotics and Automation,B,other
ACSAC,Australasian Computer Systems Architecture Conference (now Asia Pacific Computer Systems Architecture Conference),B,other
ACSC,Australasian Computer Science Conference,B,other
ACSD,Application of Concurrency to System Design,B,other
ADBIS,Symposium on Advances in DB and Information Systems,B,other
ADC,Australasian Database Conference,B,other
AdCom,International Conference on Advanced Computing and Communications,B,other
ADMA,International Conference on Advanced Data Mining and Applications,B,other
ADMI,International Workshop on Agents and Data Mining Interaction,B,other
ADTI,International Symposium on Advanced DB Technologies and Integration,B,other
Agile,Conference on Agile Software Development,B,other
AI,Australasian Joint Conference on Artificial Intelligence,B,other
AI*IA,Congress of the Italian Assoc for AI,B,other
AINA,International Conference on Advanced Information Networking and Applications (was ICOIN),B,other
AISC,Australasian Information Security Conference,B,other
AISTA,International Conference on Advances in Intelligent Systems: Theory and Applications,B,other
AISTATS,International Conference on Artificial Intelligence and Statistics,B,other
ALP,International Conference on Algebraic and Logic Programming,B,other
AMTA,Conference of the Association for Machine Translation in the Americas,B,other
ANALCO,Workshop on Analytic Algorithms and Combinatorics,B,other
ANNIE,Artificial Neural Networks in Engineering Conference,B,other
ANTS,International Workshop on Ant Colony,B,other
AofA,Conference on Analysis of Algorithms,B,other
AOIS,Agent Oriented Information Systems Workshop,B,other
APBC,Asia Pacific Bioinformatics Conference,B,other
APCCM,Asia Pacific Conference on Conceptual Modelling,B,other
APLAS,ASIAN Symposium on Programming Languages and Systems,B,other
ARES,"International Conference on Availability, Reliability and Security",B,other
AsiaCCS,"ACM Symposium on Information, Computer and Communications Security",B,ACM
ASIAN,Asian Computing Science Conference,B,other
ASIV,Australian Symposium on Information Visualisation,B,other
ASWEC,Australian Software Engineering Conference,B,other
AUIC,Australasian User Interface Conference,B,other
AusDM,Australian Data Mining Conference,B,other
AVI,Advanced Visual Interfaces,B,other
AWOCA,Australasian Workshop on Combinatorial Algorithms,B,other
AWRE,Australian Workshop on Requirements Engineering,B,other
BECC,Bled Electronic Commerce Conference,B,other
BIS,International Conference on Business Information Systems,B,other
BMVC,British Machine Vision Conference,B,other
BNCOD,British National Conference on Databases,B,other
CAADRIA,Association for Computer Aided Architectural Design Research in Asia (CAADRIA) annual conference,B,other
CAAI,Canadian Artificial Intelligence Conference,B,other
CAAN,Workshop on Combinatorial and Algorithmic Aspects of Networking,B,other
CAIA,Conference on Artificial Intelligence for Applications,B,other
CAIP,International Conference on Computer Analysis of Images and Paberns,B,other
CANS,International Conference on Cryptology and Network Security,B,other
CATAC,Cultural Altudes towards Technology and Communications,B,other
CATS,Computing: The Australasian Theory Symposium,B,other
CD,IFIP/ACM Working Conference on Component Deployment,B,ACM
CEAS,International Conference on Email and Anti Spam,B,other
CGI,Computer Graphics International,B,other
